ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.90%,100.00%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.10%,75.00%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.40%,100.00%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,43.10%,50.00%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.40%,87.50%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.50%,75.00%
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,56.30%,62.50%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,64.70%,62.50%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.30%,75.00%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.10%,75.00%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,56.80%,62.50%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,57.00%,62.50%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,53.60%,50.00%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,46.40%,62.50%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,49.40%,62.50%
1152,https://leetcode.com/problems/analyze-user-website-visit-pattern,Analyze User Website Visit Pattern,Medium,43.80%,62.50%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,54.20%,50.00%
79,https://leetcode.com/problems/word-search,Word Search,Medium,45.40%,62.50%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.10%,62.50%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,44.00%,62.50%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,52.40%,62.50%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.00%,50.00%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.20%,62.50%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,43.00%,50.00%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,46.70%,62.50%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.10%,50.00%
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,67.00%,50.00%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.40%,37.50%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.20%,62.50%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.50%,50.00%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,67.90%,62.50%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,47.00%,62.50%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.40%,50.00%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,56.60%,50.00%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,37.40%,50.00%
472,https://leetcode.com/problems/concatenated-words,Concatenated Words,Hard,49.50%,62.50%
3434,https://leetcode.com/problems/maximum-frequency-after-subarray-operation,Maximum Frequency After Subarray Operation,Medium,28.00%,75.00%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.00%,87.50%
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,63.00%,50.00%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,77.30%,62.50%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,62.40%,37.50%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,59.30%,50.00%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,65.00%,62.50%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,41.60%,62.50%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,45.60%,75.00%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,39.60%,75.00%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,47.70%,37.50%
74,https://leetcode.com/problems/search-a-2d-matrix,Search a 2D Matrix,Medium,52.40%,62.50%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,45.50%,75.00%
8,https://leetcode.com/problems/string-to-integer-atoi,String to Integer (atoi),Medium,19.40%,50.00%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,63.30%,50.00%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,69.60%,62.50%
1011,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Capacity To Ship Packages Within D Days,Medium,72.30%,37.50%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,43.30%,62.50%
226,https://leetcode.com/problems/invert-binary-tree,Invert Binary Tree,Easy,79.10%,50.00%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,30.40%,50.00%
136,https://leetcode.com/problems/single-number,Single Number,Easy,76.10%,62.50%
224,https://leetcode.com/problems/basic-calculator,Basic Calculator,Hard,45.70%,50.00%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,58.20%,37.50%
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,63.20%,37.50%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,63.30%,50.00%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,55.20%,37.50%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.60%,37.50%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,79.30%,50.00%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,36.50%,37.50%
230,https://leetcode.com/problems/kth-smallest-element-in-a-bst,Kth Smallest Element in a BST,Medium,75.50%,37.50%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,66.80%,50.00%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,63.80%,50.00%
323,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph,Number of Connected Components in an Undirected Graph,Medium,64.30%,50.00%
234,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,Easy,56.10%,50.00%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,70.30%,62.50%
528,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,Medium,48.30%,37.50%
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,66.10%,50.00%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,45.70%,62.50%
974,https://leetcode.com/problems/subarray-sums-divisible-by-k,Subarray Sums Divisible by K,Medium,55.70%,37.50%
695,https://leetcode.com/problems/max-area-of-island,Max Area of Island,Medium,73.20%,50.00%
199,https://leetcode.com/problems/binary-tree-right-side-view,Binary Tree Right Side View,Medium,67.30%,62.50%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.20%,62.50%
105,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,Construct Binary Tree from Preorder and Inorder Traversal,Medium,67.00%,37.50%
6,https://leetcode.com/problems/zigzag-conversion,Zigzag Conversion,Medium,51.80%,37.50%
143,https://leetcode.com/problems/reorder-list,Reorder List,Medium,62.70%,50.00%
1432,https://leetcode.com/problems/max-difference-you-can-get-from-changing-an-integer,Max Difference You Can Get From Changing an Integer,Medium,48.90%,37.50%
2016,https://leetcode.com/problems/maximum-difference-between-increasing-elements,Maximum Difference Between Increasing Elements,Easy,66.20%,37.50%
140,https://leetcode.com/problems/word-break-ii,Word Break II,Hard,53.80%,37.50%
150,https://leetcode.com/problems/evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,Medium,55.10%,37.50%
58,https://leetcode.com/problems/length-of-last-word,Length of Last Word,Easy,56.50%,37.50%
1748,https://leetcode.com/problems/sum-of-unique-elements,Sum of Unique Elements,Easy,79.10%,37.50%
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,36.60%,50.00%
348,https://leetcode.com/problems/design-tic-tac-toe,Design Tic-Tac-Toe,Medium,58.60%,62.50%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.50%,50.00%
700,https://leetcode.com/problems/search-in-a-binary-search-tree,Search in a Binary Search Tree,Easy,81.80%,37.50%
772,https://leetcode.com/problems/basic-calculator-iii,Basic Calculator III,Hard,52.60%,37.50%
2055,https://leetcode.com/problems/plates-between-candles,Plates Between Candles,Medium,46.70%,37.50%
85,https://leetcode.com/problems/maximal-rectangle,Maximal Rectangle,Hard,54.00%,50.00%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.20%,50.00%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,45.90%,37.50%
796,https://leetcode.com/problems/rotate-string,Rotate String,Easy,64.10%,37.50%
1186,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion,Maximum Subarray Sum with One Deletion,Medium,45.20%,50.00%
77,https://leetcode.com/problems/combinations,Combinations,Medium,73.00%,37.50%
2385,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,Amount of Time for Binary Tree to Be Infected,Medium,64.00%,50.00%
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,47.00%,50.00%
987,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,Vertical Order Traversal of a Binary Tree,Hard,51.60%,50.00%
2040,https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays,Kth Smallest Product of Two Sorted Arrays,Hard,49.10%,50.00%
1971,https://leetcode.com/problems/find-if-path-exists-in-graph,Find if Path Exists in Graph,Easy,54.10%,50.00%
2200,https://leetcode.com/problems/find-all-k-distant-indices-in-an-array,Find All K-Distant Indices in an Array,Easy,77.40%,50.00%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,66.70%,50.00%
1482,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,Minimum Number of Days to Make m Bouquets,Medium,55.50%,37.50%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,53.40%,50.00%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.10%,37.50%
219,https://leetcode.com/problems/contains-duplicate-ii,Contains Duplicate II,Easy,49.20%,62.50%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.00%,50.00%
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,60.80%,62.50%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,57.90%,62.50%
112,https://leetcode.com/problems/path-sum,Path Sum,Easy,53.20%,37.50%
19,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,49.20%,37.50%
435,https://leetcode.com/problems/non-overlapping-intervals,Non-overlapping Intervals,Medium,55.70%,37.50%
225,https://leetcode.com/problems/implement-stack-using-queues,Implement Stack using Queues,Easy,67.60%,37.50%
1295,https://leetcode.com/problems/find-numbers-with-even-number-of-digits,Find Numbers with Even Number of Digits,Easy,79.40%,37.50%
